# name,description,ingredients,cookware,difficulty,cookingTime,bilibiliUrl,category
回锅肉,王刚的回锅肉,猪肉|青椒|豆瓣酱|蒜|姜|料酒|生抽|老抽|糖|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,25,https://www.bilibili.com/video/BV1HW411c7Q2,川菜
水煮肉片,王刚的水煮肉片,猪肉片|白菜|豆芽|豆瓣酱|花椒|辣椒|蒜|姜|生抽|料酒|淀粉|食用油,炒锅|菜刀|砧板|锅铲|碗,中等,30,https://www.bilibili.com/video/BV1ys411u7Z4,川菜
毛血旺,王刚的毛血旺,猪血|豆芽|韭菜|豆瓣酱|花椒|辣椒|蒜|姜|生抽|料酒|食用油,炒锅|菜刀|砧板|锅铲,困难,35,https://www.bilibili.com/video/BV1B7411y7oi,川菜
口水鸡,王刚的口水鸡,鸡肉|花生米|蒜|姜|辣椒油|花椒粉|生抽|醋|糖|盐|香油,煮锅|菜刀|砧板|碗|勺子,中等,40,https://www.bilibili.com/video/BV1Vt411s7rd,川菜
辣子鸡,王刚的辣子鸡,鸡肉|干辣椒|花椒|蒜|姜|料酒|生抽|老抽|糖|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,35,https://www.bilibili.com/video/BV1Bx421y7Lm,川菜
小炒肉,王刚的小炒肉,猪肉|青椒|蒜|姜|豆豉|生抽|老抽|料酒|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,15,https://www.bilibili.com/video/BV1G7411m7Qn,家常菜
木须肉,王刚的木须肉,猪肉丝|鸡蛋|木耳|黄瓜|葱|料酒|生抽|盐|食用油,炒锅|菜刀|砧板|锅铲|碗,简单,20,https://www.bilibili.com/video/BV1kE411i7r1,家常菜
京酱肉丝,王刚的京酱肉丝,猪肉丝|豆腐皮|葱丝|甜面酱|料酒|生抽|淀粉|食用油,炒锅|菜刀|砧板|锅铲|碗,中等,25,https://www.bilibili.com/video/BV1Rw411R71N,家常菜
把子肉,王刚的把子肉,猪肉|生抽|老抽|冰糖|料酒|八角|桂皮|葱|姜,炒锅|菜刀|砧板|锅铲,中等,60,https://www.bilibili.com/video/BV1X84y1D7A9,荤菜
地三鲜,王刚的地三鲜,茄子|土豆|青椒|蒜|生抽|老抽|糖|盐|淀粉|食用油,炒锅|菜刀|砧板|锅铲,中等,25,https://www.bilibili.com/video/BV1iW411N7CY,素菜
干煸四季豆,王刚的干煸四季豆,四季豆|猪肉末|蒜|姜|豆豉|辣椒|生抽|老抽|糖|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,20,https://www.bilibili.com/video/BV1Fz4y187Li,素菜
虎皮青椒,王刚的虎皮青椒,青椒|蒜|生抽|醋|糖|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,10,https://www.bilibili.com/video/BV1x441127Hk,素菜
蒜蓉西兰花,小厨大亮的蒜蓉西兰花,西兰花|蒜|盐|鸡精|食用油,炒锅|菜刀|砧板|锅铲,简单,8,https://www.bilibili.com/video/BV1fy4y1W7z5,素菜
干锅花菜,王刚的干锅花菜,花菜|猪肉|蒜|姜|豆瓣酱|辣椒|生抽|老抽|糖|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,20,https://www.bilibili.com/video/BV1yf42117oX,素菜
麻辣香锅,王刚的麻辣香锅,土豆|豆腐|豆芽|蒜|姜|豆瓣酱|花椒|辣椒|生抽|老抽|糖|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,30,https://www.bilibili.com/video/BV1nW411Z7MQ,川菜
蚂蚁上树,王刚的蚂蚁上树,粉条|猪肉末|蒜|姜|豆瓣酱|葱|生抽|老抽|料酒|糖|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,15,https://www.bilibili.com/video/BV1Ts411n7ns,家常菜
葱烧豆腐,王刚的葱烧豆腐,豆腐|葱|蒜|生抽|老抽|糖|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,12,https://www.bilibili.com/video/BV1KW411N7Dw,素菜
麻辣小龙虾,王刚的麻辣小龙虾,小龙虾|蒜|姜|豆瓣酱|花椒|辣椒|料酒|生抽|老抽|糖|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,45,https://www.bilibili.com/video/BV1R4411x7Pi,海鲜
清蒸鲈鱼,王刚的清蒸鲈鱼,鲈鱼|蒸鱼豉油|葱丝|姜丝|料酒|盐|食用油,蒸锅|菜刀|砧板|盘子,中等,20,https://www.bilibili.com/video/BV1QU4y1j7T4,海鲜
红烧带鱼,王刚的红烧带鱼,带鱼|蒜|姜|生抽|老抽|糖|盐|料酒|食用油,炒锅|菜刀|砧板|锅铲,中等,25,https://www.bilibili.com/video/BV1m441177A8,海鲜
蒜蓉粉丝蒸扇贝,王刚的蒜蓉粉丝蒸扇贝,扇贝|粉丝|蒜蓉|蒸鱼豉油|葱|食用油,蒸锅|菜刀|砧板|盘子,中等,15,https://www.bilibili.com/video/BV1DR4y1p7j4,海鲜
冬瓜排骨汤,小厨大亮的冬瓜排骨汤,冬瓜|排骨|姜|盐|胡椒粉|葱,煮锅|菜刀|砧板|汤勺,简单,60,https://www.bilibili.com/video/BV1jK411W723,汤菜
担担面,王刚的担担面,面条|猪肉末|芽菜|花椒粉|辣椒油|芝麻酱|蒜|生抽|醋|糖|盐,煮锅|炒锅|菜刀|砧板|锅铲|碗,中等,30,https://www.bilibili.com/video/BV1Gq4y1S7JT,面食
牛肉面,王刚的牛肉面,面条|牛肉|白萝卜|姜|八角|桂皮|生抽|老抽|盐|胡椒粉|葱,煮锅|菜刀|砧板|汤勺,困难,120,https://www.bilibili.com/video/BV1vW411o73q,面食
蛋炒饭,王刚的蛋炒饭,米饭|鸡蛋|葱|胡萝卜丁|盐|生抽|食用油,炒锅|菜刀|砧板|锅铲|碗,简单,8,https://www.bilibili.com/video/BV1gt411o78F,主食
扬州炒饭,王刚的扬州炒饭,米饭|鸡蛋|虾仁|火腿丁|豌豆|葱|盐|生抽|食用油,炒锅|菜刀|砧板|锅铲|碗,中等,15,https://www.bilibili.com/video/BV1oy4y1r7MR,主食
粉蒸肉,王刚的粉蒸肉,猪肉|蒸肉粉|土豆|生抽|老抽|料酒|盐|糖,蒸锅|菜刀|砧板|碗,中等,45,https://www.bilibili.com/video/BV14P411A7SZ,蒸菜
凉拌黄瓜,王刚的凉拌黄瓜,黄瓜|蒜|醋|生抽|香油|盐|糖,菜刀|砧板|碗|勺子,简单,10,https://www.bilibili.com/video/BV1Cs411w7ka,凉菜
拍黄瓜,王刚的拍黄瓜,黄瓜|蒜|醋|生抽|香油|辣椒油|盐|糖,菜刀|砧板|碗|勺子,简单,8,https://www.bilibili.com/video/BV1RV41167WV,凉菜
凉拌海带丝,王刚的凉拌海带丝,海带丝|胡萝卜丝|蒜|醋|生抽|香油|盐|糖,煮锅|菜刀|砧板|碗|勺子,简单,12,https://www.bilibili.com/video/BV1Bs411F7W3,凉菜
蒜泥白肉,王刚的蒜泥白肉,猪肉|蒜泥|生抽|醋|香油|辣椒油|盐|糖,煮锅|菜刀|砧板|碗|勺子,中等,30,https://www.bilibili.com/video/BV1es41177P4,凉菜
东坡肉,王刚的东坡肉,五花肉|生抽|老抽|料酒|冰糖|葱|姜,砂锅|菜刀|砧板,困难,120,https://www.bilibili.com/video/BV1CebaznE19,特色菜
红烧狮子头,王刚的红烧狮子头,猪肉|鸡蛋|淀粉|葱|姜|生抽|老抽|料酒|糖|盐,炒锅|菜刀|砧板|锅铲|碗,中等,45,https://www.bilibili.com/video/BV1f34y1H77U,荤菜
蒜蓉生蚝,王刚的蒜蓉生蚝,生蚝|蒜蓉|粉丝|蒸鱼豉油|食用油|葱,蒸锅|菜刀|砧板|盘子,中等,15,https://www.bilibili.com/video/BV12y4y1q7rZ,海鲜
溏心鸡蛋,小高姐的溏心鸡蛋,鸡蛋|生抽|老抽|糖|料酒,煮锅|勺子,简单,8,https://www.bilibili.com/video/BV1gx411B7V7,蒸菜
葱香牛肉,小高姐的葱香牛肉,牛肉|洋葱|蒜|生抽|老抽|料酒|糖|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,20,https://www.bilibili.com/video/BV1ih411R7Zx,荤菜
番茄土豆汤,小高姐的番茄土豆汤,西红柿|土豆|鸡蛋|葱|盐|糖|香油|食用油,煮锅|菜刀|砧板|汤勺,简单,20,https://www.bilibili.com/video/BV1fK4y1h7jb,汤菜
蒜蓉空心菜,老饭骨的蒜蓉空心菜,空心菜|蒜|盐|鸡精|食用油,炒锅|菜刀|砧板|锅铲,简单,5,https://www.bilibili.com/video/BV1jc411w7aV,素菜
韭菜炒蛋,老饭骨的韭菜炒蛋,韭菜|鸡蛋|盐|食用油,炒锅|菜刀|砧板|锅铲|碗,简单,8,https://www.bilibili.com/video/BV1JE411D7KD,家常菜
韭菜盒子,老饭骨的韭菜盒子,韭菜|鸡蛋|面粉|盐|食用油,平底锅|菜刀|砧板|锅铲|碗,中等,30,https://www.bilibili.com/video/BV1ph4y1v7jB,主食
芹菜炒肉,老饭骨的芹菜炒肉,芹菜|猪肉|蒜|生抽|老抽|料酒|盐|食用油,炒锅|菜刀|砧板|锅铲,简单,12,https://www.bilibili.com/video/BV1es411c7ob,家常菜
糖醋排骨,老饭骨的糖醋排骨,排骨|糖|醋|生抽|老抽|料酒|姜|葱|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,45,https://www.bilibili.com/video/BV1dq4y1Q718,荤菜
红烧排骨,老饭骨的红烧排骨,排骨|生抽|老抽|冰糖|料酒|八角|桂皮|葱|姜|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,50,https://www.bilibili.com/video/BV1Ws41157vT,荤菜
糖醋鱼,老饭骨的糖醋鱼,鱼|糖|醋|生抽|老抽|淀粉|葱|姜|盐|食用油,炒锅|菜刀|砧板|锅铲|碗,中等,25,https://www.bilibili.com/video/BV1iT411V7FJ,海鲜
红烧鱼,老饭骨的红烧鱼,鱼|生抽|老抽|糖|料酒|葱|姜|盐|食用油,炒锅|菜刀|砧板|锅铲,中等,20,https://www.bilibili.com/video/BV1sJ411V7C5,海鲜
水煮鱼,老饭骨的水煮鱼,鱼|豆芽|白菜|豆瓣酱|花椒|辣椒|蒜|姜|生抽|料酒|淀粉|食用油,炒锅|菜刀|砧板|锅铲|碗,中等,35,https://www.bilibili.com/video/BV1mK411F7oM,川菜
酸菜鱼,老饭骨的酸菜鱼,鱼|酸菜|豆腐|蒜|姜|胡椒粉|料酒|盐|食用油,煮锅|菜刀|砧板|汤勺,中等,30,https://www.bilibili.com/video/BV15s411L7kc,川菜
孜然羊肉,老饭骨的孜然羊肉,羊肉|洋葱|孜然粉|辣椒粉|蒜|盐|生抽|食用油,炒锅|菜刀|砧板|锅铲,中等,15,https://www.bilibili.com/video/BV1YV411b7yp,荤菜
蒜蓉蒸扇贝,日食记的蒜蓉蒸扇贝,扇贝|蒜|粉丝|蒸鱼豉油|食用油|葱,蒸锅|菜刀|砧板|盘子,中等,15,https://www.bilibili.com/video/BV1Ks4y1d7kB,海鲜
清蒸鸡蛋羹,日食记的清蒸鸡蛋羹,鸡蛋|温水|盐|香油|葱花,蒸锅|碗|勺子,简单,15,https://www.bilibili.com/video/BV1sK4y1d7kB,蒸菜
